code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
P,Everpure,117.06,-1.712,38911321339.92,57982144.0,60.378
NIQ,NIQ Global Intelligence,17.32,-7.379,5108635564.48,40112105.0,48.034
CHYM,Chime Financial,31.91,-4.489,12080650892.01,179282823.0,42.646
NBIS,NEBIUS,248.43,-17.151,67536991807.74,536524591.0,46.402
RBRK,Rubrik,100.55,-5.586,20696062311.3,58671397.0,40.727
UMAC,Unusual Machines,30.58,-12.444,1527669922.9,97781176.0,53.514
AMLX,Amylyx Pharmaceuticals,35.11,-0.791,3912063215.28,61856540.0,79.59
BLZE,Backblaze,19.2,-19.966,1188480000.0,59663757.0,59.072
NN,NextNav,19.17,-21.498,3236085974.7,60577053.0,42.527
AMPL,Amplitude,12.59,-7.29,1572693270.94,48591808.0,44.05
FIGS,FIGS Inc,14.16,-18.993,2352545826.72,69587204.0,37.076
ABCL,AbCellera Biologics,11.12,-4.508,3603406676.56,192501373.0,110.207
U,Unity Software,46.74,-10.373,20569756728.42,248973181.0,46.842
PLTR,Palantir,171.54,-17.338,412220651659.2,938123410.0,38.865
ESTC,Elastic,85.01,-11.507,8836928321.33,42419235.0,36.892
REPL,Replimune,15.58,-0.795,1467941897.72,163577155.0,80.533
NESR,National Energy Services Reunited,35.29,-4.466,3559058398.66,42938605.0,38.121
LITE,Lumentum,873.31,-19.561,78335907000.0,106457855.0,33.957
APPS,Digital Turbine,12.12,-20.965,1466716950.0,84742508.0,43.262
TNDM,Tandem Diabetes Care,23.73,-19.966,1651102717.11,44864203.0,33.614
TEAM,Atlassian,163.0,-11.413,41261626845.0,111038063.0,63.032
OMER,Omeros,17.19,-5.237,1244355152.04,47438123.0,52.393
AEHR,Aehr Test Systems,123.25,-16.383,4020470462.5,51490673.0,76.071
PTEN,Patterson-UTI Energy,12.125,-6.466,4624291597.25,177299812.0,32.224
